account_length,intertiol_plan,voice_mail_plan,number_vm_messages,total_day_min,total_day_calls,total_day_charge,total_eve_min,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,location_code_452,location_code_445,location_code_547,total_charge,total_calls,total_min,no_of_plans
117.0,0,0,0.0,115.4,123.0,18.13,236.3,101.0,22.19,225.0,55.0,10.22,13.6,2.0,3.67,5.0,0.0,1.0,0.0,54.209999999999994,281.0,590.3,0
71.0,0,0,0.0,197.9,108.0,33.64,181.5,109.0,15.43,281.4,56.0,12.66,6.7,5.0,1.81,3.0,0.0,1.0,0.0,63.54,278.0,667.5,0
117.0,0,0,0.0,118.4,126.0,20.13,249.3,97.0,21.19,227.0,56.0,10.22,13.6,3.0,3.67,5.0,0.0,1.0,0.0,55.209999999999994,282.0,608.3,0
56.0,0,0,0.0,210.4,80.0,35.77,176.6,96.0,15.01,149.7,56.0,6.74,15.5,4.0,4.19,1.0,1.0,0.0,0.0,61.71,236.0,552.1999999999999,0
105.0,0,0,0.0,271.9,101.0,48.05,240.2,105.0,20.23,186.8,56.0,8.05,8.8,6.0,2.38,0.0,1.0,0.0,0.0,78.71,268.0,707.7,0
110.0,0,0,0.0,100.1,90.0,17.02,233.3,93.0,19.83,204.4,57.0,9.2,11.1,8.0,3.0,3.0,1.0,0.0,0.0,49.05,248.0,548.9,0
108.0,0,0,0.0,199.3,104.0,33.88,224.2,92.0,19.06,140.1,57.0,6.3,15.2,2.0,4.1,0.0,0.0,1.0,0.0,63.34,255.0,578.8,0
74.0,0,1,35.0,154.1,104.0,26.2,123.4,84.0,10.49,202.1,57.0,9.09,10.9,9.0,2.94,2.0,0.0,1.0,0.0,48.72,254.0,490.5,1
95.0,0,1,32.0,262.2,123.0,44.57,165.2,82.0,14.04,194.3,57.0,8.74,10.6,5.0,2.86,0.0,1.0,0.0,0.0,70.21000000000001,267.0,632.3,1
99.0,0,0,0.0,182.6,83.0,31.04,154.5,111.0,13.13,196.0,57.0,8.82,12.1,5.0,3.27,0.0,0.0,1.0,0.0,56.26,256.0,545.2,0
122.0,1,0,0.0,230.9,132.0,39.25,243.2,99.0,20.67,182.4,57.0,8.21,11.0,2.0,2.97,0.0,0.0,1.0,0.0,71.1,290.0,667.5,1
110.0,0,0,0.0,227.7,88.0,38.71,170.0,96.0,14.45,128.7,57.0,5.79,11.7,5.0,3.16,1.0,0.0,1.0,0.0,62.11,246.0,538.0999999999999,0
10.0,0,0,0.0,186.1,112.0,31.64,190.2,66.0,16.17,282.8,57.0,12.73,11.4,6.0,3.08,2.0,1.0,0.0,0.0,63.620000000000005,241.0,670.5,0
94.0,0,0,0.0,279.2,107.0,47.76,180.8,141.0,17.47,267.6,57.0,11.59,8.9,1.0,2.4,3.0,1.0,0.0,0.0,79.22,306.0,736.5,0
90.0,0,0,0.0,179.2,77.0,30.46,210.7,99.0,17.91,276.9,58.0,12.46,9.2,6.0,2.48,2.0,0.0,1.0,0.0,63.31,240.0,676.0,0
86.0,0,1,41.0,119.0,101.0,20.23,230.0,134.0,19.55,236.9,58.0,10.66,9.5,3.0,2.57,0.0,0.0,0.0,1.0,53.010000000000005,296.0,595.4,1
63.0,0,0,0.0,211.2,80.0,35.9,237.7,93.0,20.2,259.2,58.0,11.66,12.3,2.0,3.32,0.0,0.0,1.0,0.0,71.08,233.0,720.4,0
122.0,0,0,0.0,35.1,62.0,5.97,180.8,89.0,15.37,251.6,58.0,11.32,12.7,2.0,3.43,1.0,0.0,1.0,0.0,36.089999999999996,211.0,480.20000000000005,0
63.0,1,0,0.0,62.9,112.0,10.69,202.9,111.0,17.25,259.0,58.0,11.66,8.9,8.0,2.4,1.0,0.0,1.0,0.0,42.0,289.0,533.6999999999999,1
177.0,0,0,0.0,266.1,91.0,45.24,225.2,79.0,19.14,224.7,58.0,10.11,8.9,8.0,2.4,3.0,0.0,1.0,0.0,76.89,236.0,724.9,0
75.0,1,0,0.0,194.3,57.0,34.92,93.6,121.0,8.98,170.9,58.0,7.92,9.7,4.0,2.62,4.0,1.0,0.0,0.0,54.44,240.0,468.5,1
52.0,1,0,0.0,238.4,123.0,44.74,196.6,78.0,15.71,200.0,58.0,8.64,11.0,1.0,2.97,0.0,0.0,0.0,1.0,72.06,260.0,646.0,1
131.0,0,1,25.0,192.7,85.0,32.76,225.9,105.0,19.2,254.2,59.0,11.44,10.9,6.0,2.94,2.0,0.0,1.0,0.0,66.34,255.0,683.7,1
121.0,0,0,0.0,168.6,121.0,28.66,168.6,94.0,14.33,95.3,59.0,4.29,12.3,4.0,3.32,1.0,1.0,0.0,0.0,50.599999999999994,278.0,444.79999999999995,0
122.0,0,0,0.0,157.1,134.0,26.71,184.9,122.0,15.72,197.2,59.0,8.87,8.5,5.0,2.3,4.0,0.0,0.0,1.0,53.6,320.0,547.7,0
135.0,0,0,0.0,154.4,130.0,26.25,203.8,90.0,17.32,158.7,59.0,7.14,11.8,3.0,3.19,0.0,0.0,0.0,1.0,53.9,282.0,528.7,0
113.0,0,1,23.0,205.0,101.0,34.85,152.0,60.0,12.92,158.6,59.0,7.14,10.2,5.0,2.75,2.0,0.0,1.0,0.0,57.660000000000004,225.0,525.8,1
102.0,0,0,0.0,144.4,87.0,24.55,266.5,128.0,22.65,217.6,59.0,9.79,7.1,7.0,1.92,0.0,0.0,1.0,0.0,58.91,281.0,635.6,0
110.0,0,0,0.0,241.2,105.0,41.0,174.3,85.0,14.82,245.3,59.0,11.04,8.5,4.0,2.3,2.0,0.0,1.0,0.0,69.16,253.0,669.3,0
122.0,1,0,0.0,247.9,125.0,41.25,251.2,98.0,20.67,180.4,59.0,8.21,11.0,2.0,2.97,0.0,0.0,1.0,0.0,73.1,284.0,690.5,1
50.0,1,0,0.0,99.6,113.0,16.93,320.7,102.0,27.24,163.2,59.0,7.25,13.7,5.0,3.7,2.0,0.0,1.0,0.0,55.12,279.0,597.1999999999999,1
105.0,0,0,0.0,270.9,98.0,46.05,226.2,110.0,19.23,178.8,60.0,8.05,8.8,5.0,2.38,0.0,1.0,0.0,0.0,75.71,273.0,684.7,0
90.0,0,0,0.0,193.7,83.0,32.93,154.2,79.0,13.11,299.0,60.0,13.46,12.7,3.0,3.43,1.0,0.0,1.0,0.0,62.93,225.0,659.5999999999999,0
73.0,0,0,0.0,254.7,80.0,43.3,90.2,79.0,7.67,153.4,60.0,6.9,10.6,8.0,2.86,0.0,0.0,0.0,1.0,60.73,227.0,508.9,0
123.0,0,0,0.0,206.9,115.0,35.17,224.4,86.0,19.07,197.4,60.0,8.88,8.3,2.0,2.24,3.0,1.0,0.0,0.0,65.36,263.0,637.0,0
164.0,0,1,25.0,219.1,88.0,37.25,151.5,99.0,12.88,50.1,60.0,2.25,14.3,6.0,3.86,1.0,1.0,0.0,0.0,56.24,253.0,435.0,1
142.0,1,1,25.0,191.1,109.0,32.49,149.6,120.0,12.72,227.8,60.0,10.25,9.8,3.0,2.65,0.0,1.0,0.0,0.0,58.11,292.0,578.3000000000001,2
69.0,0,0,0.0,228.2,70.0,38.79,263.7,80.0,22.41,142.6,60.0,6.42,10.7,5.0,2.89,3.0,0.0,1.0,0.0,70.50999999999999,215.0,645.2,0
134.0,0,0,0.0,141.7,95.0,24.09,205.6,101.0,17.48,218.5,60.0,9.83,8.8,6.0,2.38,0.0,0.0,1.0,0.0,53.78,262.0,574.5999999999999,0
82.0,0,0,0.0,200.3,96.0,34.05,201.2,102.0,17.1,206.1,60.0,9.27,7.1,1.0,1.92,4.0,1.0,0.0,0.0,62.339999999999996,259.0,614.7,0
126.0,0,0,0.0,211.6,70.0,35.97,216.9,80.0,18.44,153.5,60.0,6.91,7.8,1.0,2.11,1.0,1.0,0.0,0.0,63.43,211.0,589.8000000000001,0
137.0,0,0,0.0,115.0,130.0,19.55,137.8,83.0,11.71,224.0,61.0,10.08,7.3,4.0,1.97,3.0,0.0,1.0,0.0,43.31,278.0,484.1,0
151.0,0,0,0.0,134.5,88.0,22.87,143.1,112.0,12.16,223.9,61.0,10.08,15.4,1.0,4.16,1.0,1.0,0.0,0.0,49.269999999999996,262.0,516.9,0
71.0,0,0,0.0,207.0,112.0,35.19,173.8,96.0,14.77,178.4,61.0,8.03,12.1,3.0,3.27,1.0,0.0,1.0,0.0,61.26,272.0,571.3,0
94.0,0,0,0.0,269.2,104.0,45.76,193.8,144.0,16.47,257.6,61.0,11.59,8.9,2.0,2.4,3.0,1.0,0.0,0.0,76.22,311.0,729.5,0
73.0,0,0,0.0,194.8,112.0,33.12,167.2,85.0,14.21,100.3,61.0,4.51,10.8,6.0,2.92,1.0,1.0,0.0,0.0,54.76,264.0,473.09999999999997,0
162.0,0,1,46.0,224.9,97.0,38.23,188.2,84.0,16.0,254.6,61.0,11.46,12.1,2.0,3.27,0.0,0.0,0.0,1.0,68.96,244.0,679.8,1
84.0,0,1,30.0,106.5,65.0,18.11,225.7,108.0,19.18,188.6,61.0,8.49,5.7,3.0,1.54,2.0,1.0,0.0,0.0,47.32,237.0,526.5,1
151.0,0,0,0.0,118.9,128.0,20.21,278.3,65.0,23.66,194.8,61.0,8.77,13.2,10.0,3.56,2.0,0.0,1.0,0.0,56.2,264.0,605.2,0
143.0,0,0,0.0,155.5,101.0,26.44,213.4,89.0,18.14,237.9,61.0,10.71,7.6,11.0,2.05,1.0,1.0,0.0,0.0,57.34,262.0,614.4,0
95.0,0,0,0.0,269.0,120.0,45.73,233.7,120.0,19.86,179.3,61.0,8.07,7.3,4.0,1.97,2.0,0.0,1.0,0.0,75.63,305.0,689.3,0
101.0,0,0,0.0,118.6,89.0,20.16,199.6,97.0,16.97,53.3,61.0,2.4,11.5,5.0,3.11,1.0,0.0,1.0,0.0,42.64,252.0,383.0,0
125.0,0,0,0.0,113.0,108.0,19.21,169.2,107.0,14.38,156.6,61.0,7.05,9.2,5.0,2.48,2.0,1.0,0.0,0.0,43.120000000000005,281.0,448.0,0
106.0,0,0,0.0,119.2,142.0,20.26,228.4,139.0,19.41,197.9,61.0,8.91,8.4,9.0,2.27,2.0,0.0,1.0,0.0,50.85,351.0,553.9000000000001,0
100.0,0,1,38.0,224.7,121.0,38.2,294.0,131.0,24.99,290.0,61.0,13.05,9.8,6.0,2.65,0.0,0.0,0.0,1.0,78.89,319.0,818.5,1
97.0,0,0,0.0,125.8,95.0,22.54,159.8,103.0,14.43,199.1,61.0,8.73,11.9,3.0,3.21,4.0,0.0,0.0,1.0,48.91,262.0,496.6,0
152.0,0,0,0.0,323.8,53.0,52.03,155.9,100.0,14.0,111.4,61.0,5.55,10.4,8.0,2.81,1.0,0.0,1.0,0.0,74.39,222.0,601.5,0
80.0,0,0,0.0,124.3,100.0,21.13,173.0,107.0,14.71,253.2,62.0,11.39,7.9,9.0,2.13,1.0,0.0,1.0,0.0,49.36,278.0,558.4,0
148.0,1,0,0.0,148.2,138.0,25.19,159.6,123.0,13.57,197.4,62.0,8.88,8.6,3.0,2.32,2.0,0.0,0.0,1.0,49.96000000000001,326.0,513.8,1
106.0,0,0,0.0,274.4,120.0,46.65,198.6,82.0,16.88,160.8,62.0,7.24,6.0,3.0,1.62,1.0,0.0,0.0,1.0,72.39,267.0,639.8,0
44.0,0,1,34.0,221.8,105.0,37.71,161.7,85.0,13.74,227.7,62.0,10.25,14.0,4.0,3.78,0.0,0.0,1.0,0.0,65.48,256.0,625.2,1
160.0,0,0,0.0,97.5,113.0,16.58,268.1,69.0,22.79,255.3,62.0,11.49,13.2,4.0,3.56,3.0,0.0,1.0,0.0,54.42,248.0,634.1,0
124.0,0,0,0.0,150.3,101.0,25.55,255.9,112.0,21.75,136.7,62.0,6.15,12.5,4.0,3.38,2.0,0.0,1.0,0.0,56.83,279.0,555.4000000000001,0
148.0,1,0,0.0,218.7,111.0,37.18,155.6,133.0,13.23,277.4,62.0,12.48,8.2,5.0,2.21,1.0,0.0,1.0,0.0,65.1,311.0,659.8999999999999,1
60.0,0,1,31.0,191.8,75.0,32.61,267.8,135.0,22.76,200.5,62.0,9.02,12.8,3.0,3.46,2.0,0.0,0.0,1.0,67.85,275.0,672.9000000000001,1
50.0,1,0,0.0,99.6,108.0,16.93,308.7,102.0,26.24,161.2,62.0,7.25,13.7,6.0,3.7,2.0,0.0,1.0,0.0,54.12,278.0,583.1999999999999,1
167.0,0,0,0.0,158.2,130.0,30.76,162.3,111.0,14.73,219.5,62.0,9.74,12.4,3.0,3.35,4.0,0.0,1.0,0.0,58.58,306.0,552.4000000000001,0
173.0,0,0,0.0,172.5,78.0,29.33,142.6,91.0,12.12,102.0,63.0,4.59,10.9,2.0,2.94,0.0,0.0,0.0,1.0,48.98,234.0,428.0,0
139.0,0,0,0.0,138.1,103.0,23.48,164.5,100.0,13.98,134.9,63.0,6.07,8.3,2.0,2.24,1.0,0.0,1.0,0.0,45.769999999999996,268.0,445.80000000000007,0
118.0,0,1,36.0,294.9,106.0,50.13,165.7,115.0,14.08,189.2,63.0,8.51,9.8,5.0,2.65,3.0,0.0,1.0,0.0,75.37,289.0,659.5999999999999,1
93.0,0,0,0.0,266.0,120.0,45.22,130.1,84.0,11.06,165.8,63.0,7.46,13.1,6.0,3.54,3.0,0.0,1.0,0.0,67.28,273.0,575.0,0
104.0,0,0,0.0,130.5,77.0,22.19,131.2,117.0,11.15,264.7,63.0,11.91,13.0,6.0,3.51,0.0,0.0,1.0,0.0,48.760000000000005,263.0,539.4,0
91.0,0,0,0.0,190.5,128.0,32.39,205.5,103.0,17.47,130.7,63.0,5.88,13.8,5.0,3.73,0.0,0.0,1.0,0.0,59.47,299.0,540.5,0
127.0,0,1,19.0,129.7,115.0,22.05,160.8,101.0,13.67,265.0,63.0,11.93,12.2,3.0,3.29,2.0,0.0,0.0,1.0,50.94,282.0,567.7,1
75.0,1,0,0.0,211.3,61.0,35.92,105.6,119.0,8.98,175.9,63.0,7.92,9.7,4.0,2.62,4.0,1.0,0.0,0.0,55.44,247.0,502.5,1
97.0,0,0,0.0,120.8,96.0,20.54,169.8,101.0,14.43,194.1,63.0,8.73,11.9,3.0,3.21,4.0,0.0,0.0,1.0,46.91,263.0,496.6,0
152.0,0,0,0.0,317.8,60.0,54.03,152.9,100.0,13.0,123.4,63.0,5.55,10.4,7.0,2.81,1.0,0.0,1.0,0.0,75.39,230.0,604.5,0
80.0,0,0,0.0,127.8,67.0,21.73,181.6,112.0,15.44,197.3,63.0,8.88,15.9,2.0,4.29,2.0,0.0,1.0,0.0,50.34,244.0,522.6,0
138.0,0,0,0.0,205.9,96.0,35.0,257.1,94.0,21.85,209.0,63.0,9.4,12.1,8.0,3.27,0.0,0.0,0.0,1.0,69.52000000000001,261.0,684.1,0
107.0,0,1,27.0,283.4,104.0,48.18,224.1,152.0,19.05,241.3,63.0,10.86,14.4,7.0,3.89,2.0,0.0,0.0,1.0,81.97999999999999,326.0,763.2,1
129.0,0,0,0.0,186.0,127.0,31.62,262.3,96.0,22.3,98.9,63.0,4.45,11.5,6.0,3.11,4.0,1.0,0.0,0.0,61.480000000000004,292.0,558.7,0
77.0,0,0,0.0,62.4,82.0,12.61,155.9,123.0,15.44,217.6,63.0,9.43,5.7,6.0,1.54,5.0,1.0,0.0,0.0,39.019999999999996,274.0,441.59999999999997,0
177.0,0,0,0.0,271.1,86.0,47.24,234.2,84.0,18.14,233.7,63.0,10.11,8.9,7.0,2.4,3.0,0.0,1.0,0.0,77.89,240.0,747.9,0
77.0,0,0,0.0,62.4,89.0,10.61,169.9,121.0,14.44,209.6,64.0,9.43,5.7,6.0,1.54,5.0,1.0,0.0,0.0,36.019999999999996,280.0,447.59999999999997,0
119.0,0,0,0.0,294.2,100.0,50.01,232.5,53.0,19.76,195.0,64.0,8.78,9.0,1.0,2.43,0.0,1.0,0.0,0.0,80.97999999999999,218.0,730.7,0
171.0,0,1,17.0,186.9,94.0,31.77,240.0,138.0,20.4,200.9,64.0,9.04,5.8,3.0,1.57,1.0,0.0,0.0,1.0,62.78,299.0,633.6,1
97.0,0,1,28.0,202.3,97.0,34.39,69.2,84.0,5.88,257.6,64.0,11.59,6.7,3.0,1.81,1.0,0.0,1.0,0.0,53.67,248.0,535.8,1
139.0,0,0,0.0,181.6,119.0,30.87,335.7,118.0,28.53,149.8,64.0,6.74,8.3,6.0,2.24,4.0,0.0,1.0,0.0,68.38000000000001,307.0,675.4,0
137.0,0,0,0.0,110.5,79.0,18.79,223.2,111.0,18.97,169.5,64.0,7.63,10.5,3.0,2.84,3.0,0.0,0.0,1.0,48.23,257.0,513.7,0
205.0,0,1,24.0,175.8,139.0,29.89,155.0,98.0,13.18,180.7,64.0,8.13,7.8,5.0,2.11,2.0,0.0,0.0,1.0,53.31,306.0,519.3,1
40.0,0,0,0.0,81.7,123.0,13.89,210.2,108.0,17.87,212.0,64.0,9.54,11.3,3.0,3.05,6.0,0.0,0.0,1.0,44.35,298.0,515.2,0
110.0,0,0,0.0,188.0,127.0,31.96,90.5,118.0,7.69,150.3,64.0,6.76,15.3,3.0,4.13,3.0,0.0,0.0,1.0,50.540000000000006,312.0,444.1,0
116.0,0,0,0.0,137.4,126.0,23.36,120.0,94.0,10.2,130.3,64.0,5.86,12.4,2.0,3.35,3.0,0.0,0.0,1.0,42.769999999999996,286.0,400.1,0
130.0,0,0,0.0,252.0,101.0,42.84,170.2,105.0,14.47,209.2,64.0,9.41,5.7,5.0,1.54,0.0,1.0,0.0,0.0,68.26,275.0,637.0999999999999,0
16.0,0,0,0.0,205.6,69.0,34.95,169.5,93.0,14.41,220.1,64.0,9.9,10.9,3.0,2.94,0.0,0.0,0.0,1.0,62.2,229.0,606.1,0
167.0,0,0,0.0,169.2,124.0,28.76,173.3,108.0,14.73,216.5,64.0,9.74,12.4,4.0,3.35,4.0,0.0,1.0,0.0,56.58,300.0,571.4000000000001,0
32.0,0,0,0.0,171.2,82.0,29.1,185.6,102.0,15.78,203.3,64.0,9.146780300280659,10.2,7.0,2.75,1.0,1.0,0.0,0.0,56.77678030028066,255.0,570.3,0
53.0,0,1,27.0,25.9,119.0,4.4,206.5,96.0,17.55,228.1,64.0,10.26,6.5,7.0,1.76,1.0,0.0,1.0,0.0,33.97,286.0,467.0,1
40.0,0,0,0.0,74.7,130.0,15.89,218.2,104.0,16.87,217.0,64.0,9.54,11.3,2.0,3.05,6.0,0.0,0.0,1.0,45.35,300.0,521.2,0
95.0,0,0,0.0,263.0,116.0,43.73,247.7,121.0,20.86,178.3,64.0,8.07,7.3,3.0,1.97,2.0,0.0,1.0,0.0,74.63,304.0,696.3,0
125.0,0,0,0.0,112.0,114.0,19.21,179.2,112.0,14.38,165.6,64.0,7.05,9.2,6.0,2.48,2.0,1.0,0.0,0.0,43.120000000000005,296.0,466.0,0
115.0,0,0,0.0,268.0,115.0,45.56,153.6,106.0,13.06,232.3,65.0,10.45,17.0,1.0,4.59,3.0,1.0,0.0,0.0,73.66,287.0,670.9,0
108.0,0,0,0.0,215.6,78.0,36.65,195.3,119.0,16.6,194.4,65.0,8.75,3.6,5.0,0.97,1.0,0.0,1.0,0.0,62.97,267.0,608.9,0
105.0,1,0,0.0,150.0,106.0,25.5,293.8,123.0,24.97,250.7,65.0,11.28,10.3,7.0,2.78,3.0,0.0,1.0,0.0,64.53,301.0,704.8,1
106.0,0,0,0.0,159.6,94.0,27.13,276.8,118.0,23.53,223.5,65.0,10.06,8.8,3.0,2.38,0.0,0.0,0.0,1.0,63.099999999999994,280.0,668.7,0
31.0,0,0,0.0,165.4,84.0,28.12,203.7,107.0,17.31,201.7,65.0,9.08,8.2,1.0,2.21,1.0,0.0,0.0,1.0,56.72,257.0,579.0,0
70.0,0,0,0.0,147.1,105.0,25.01,200.0,135.0,17.0,234.9,65.0,10.57,12.5,9.0,3.38,3.0,0.0,0.0,1.0,55.96,314.0,594.5,0
83.0,0,0,0.0,178.8,102.0,30.4,167.9,84.0,14.27,178.9,65.0,8.05,8.6,4.0,2.32,3.0,0.0,1.0,0.0,55.04,255.0,534.2,0
162.0,0,0,0.0,217.6,87.0,36.99,279.0,71.0,23.72,250.7,65.0,11.28,10.4,4.0,2.81,2.0,1.0,0.0,0.0,74.80000000000001,227.0,757.6999999999999,0
64.0,0,0,0.0,219.6,126.0,37.33,303.3,100.0,25.78,154.5,65.0,6.95,9.7,5.0,2.62,1.0,1.0,0.0,0.0,72.68,296.0,687.1,0
172.0,0,0,0.0,203.9,109.0,34.66,234.0,123.0,19.89,160.7,65.0,7.23,17.8,4.0,4.81,4.0,1.0,0.0,0.0,66.59,301.0,616.4,0
88.0,0,0,0.0,215.6,115.0,36.65,216.2,85.0,18.38,171.3,65.0,7.71,11.8,1.0,3.19,3.0,0.0,1.0,0.0,65.93,266.0,614.9,0
104.0,0,0,0.0,200.2,92.0,34.03,118.7,87.0,10.09,236.6,65.0,10.65,6.0,6.0,1.62,2.0,1.0,0.0,0.0,56.39,250.0,561.5,0
90.0,0,1,39.0,94.8,89.0,16.12,219.1,91.0,18.62,197.4,65.0,8.88,11.4,5.0,3.08,1.0,1.0,0.0,0.0,46.7,250.0,522.6999999999999,1
101.0,0,1,9.0,160.1,116.0,27.22,210.0,121.0,17.85,139.1,65.0,6.26,10.8,9.0,2.92,0.0,0.0,0.0,1.0,54.25,311.0,520.0,1
